Genus species,ETS,GBSSI,ITS,matK,PHYA,PHYB,psbA,rbcL,rpl32,rps2
Castilleja sulphurea,AF478977,-,-,-,-,-,FJ765711,MG222104,-,-
Castilleja tenuiflora,-,FJ939148,EF103682,-,-,-,-,-,-,-
Castilleja tenuis,EF103607,FJ939209,-,-,AM233947,-,-,MG223595,-,-
Castilleja thompsonii,-,-,-,-,-,-,-,MG221615,-,-
Castilleja unalaschcensis,-,-,FJ939248,-,-,-,-,MG221547,-,-
Castilleja vadosa,FJ939235,FJ939196,FJ939245,-,-,-,-,-,-,-
Castilleja virgata,-,FJ939140,EF103706,-,-,-,-,-,-,-
Castilleja xanthotricha,FJ939232,-,-,-,-,-,-,-,-,-
Castilleja yukonis,EF103636,-,EF103703,-,-,-,-,MG221399,-,-
Castilleja zempoaltepetlensis,-,-,KC480320,-,-,-,-,-,-,-
Centranthera cochinchinensis,EF103632,-,MF963938,KX526734,-,-,-,KX527367,-,-
Chloropyron maritimum,-,-,EF103718,MF963566,-,-,-,MF963202,-,-
Chloropyron molle,EF103649,-,EF103719,-,-,-,-,-,-,-
Chloropyron palmatum,EF103650,-,MF964115,-,-,-,-,-,-,-
Chloropyron tecopense,EF103651,-,KC480321,MF963728,-,-,-,MF963367,-,-
Christisonia siamensis,EF103652,-,KY062761,-,KC542189,-,-,-,-,KC480417
Cistanche armena,-,-,AB217873,-,-,-,-,-,-,-
Cistanche deserticola,-,-,KJ004327,KY706627,-,-,-,-,-,AB062405
Cistanche phelypaea,-,-,AB217872,AF056149,-,-,-,-,-,AY849597
Cistanche salsa,-,-,AB217874,KY706626,-,-,-,-,-,AB062406
Cistanche sinensis,-,-,KC480323,KY706628,-,-,-,-,-,AB116623
Cistanche tubulosa,-,-,AY209304,-,-,-,-,-,-,AB062409
Cistanche violacea,-,-,KC480324,-,-,-,-,-,-,-
Conopholis alpina,-,-,KC480325,KJ772672,AM233949,KC542216,-,-,-,-
Conopholis americana,-,-,-,-,AM233950,KC542217,-,-,-,U48759 
Cordylanthus capitatus,-,-,-,-,-,-,-,-,-,-
Cordylanthus eremicus,EF103658,-,-,-,-,-,-,-,-,-
Cordylanthus kingii,-,-,EF103722,-,-,-,-,-,-,-
Cordylanthus pilosus,EF103659,-,-,-,-,-,-,-,-,-
Cordylanthus pringlei,EF103657,-,EF103725,-,-,-,-,-,-,-
Cordylanthus ramosus,-,-,AY911221,KC542157,AM233951,KC556900,-,-,-,-
Cordylanthus rigidus,EF103662,-,EF103721,-,-,-,-,-,-,-
Cordylanthus tenuis,EF103655,-,EF103724,-,-,-,-,-,-,-
Cordylanthus wrightii,EF103656,-,-,-,-,-,-,-,-,-
Cyclocheilon physocalyx,EF103660,-,-,-,-,-,-,-,-,-
Cyclocheilon somaliense,-,-,KC480327,AJ429336,-,-,-,U28871,-,-
Cycnium adonense,-,-,-,JX091318,AM233952,KC542218,-,-,-,JX022991
Cycnium herzfeldianum,-,-,EU259263,FR728649,-,-,-,-,-,-
Cycnium racemosum,-,-,KC480329,AY849601,-,-,-,DQ017783,-,U48745
Cycnium tubulosum,-,-,KC480330,FR728650,-,KC542219,-,-,-,KC480418
Cycnium volkensii,-,-,KC480331,-,-,-,-,-,-,-
Cymbaria mongolica,-,-,EU827881,KC542158,AM233953,KC542220,-,-,-,KC480419
Dasistoma macrophylla,-,-,MF964011,AY563921,-,-,EU827964,AY563947,-,EU828045
Dicranostegia orcuttiana,EF103653,-,AY209284,-,-,-,-,MF963269,-,-
Diphelypaea coccinea,-,-,AY209285,-,-,-,-,-,-,-
Diphelypaea tournefortii,-,-,KC480332,-,-,-,-,-,-,-
Epifagus virginiana,-,-,KC480333,MG224852,AM234039,KC542221,-,-,-,-
Escobedia crassipes,-,-,KC480334,-,-,-,-,-,-,JX022994
Escobedia grandiflora,-,-,KC480335,-,AM233955,-,-,-,-,JX022995
Escobedia laevis,-,-,KC480336,-,-,-,-,-,-,KC480420
Esterhazya campestris,-,-,EU029953,KC542159,AM233957,KC542222,-,-,-,JX022996
Euphrasia alpina,-,-,KC480337,-,-,-,-,-,-,-
Euphrasia alsa,-,-,KX166240,KC542160,AM233958,KC542223,-,-,-,KC480421
Euphrasia anglica,-,-,EU029955,JN894606,-,-,-,JN891552,MH202397,-
Euphrasia arctica,-,-,-,MH202284,-,-,-,JN891558,MH202416,-
Euphrasia azorica,-,-,-,HM850811,-,-,-,HM849997,-,-
Euphrasia bella,-,-,-,KU564573,-,-,-,KU564796,-,-
Euphrasia borealis,-,-,FJ667858,-,-,-,-,-,GQ283392,-
Euphrasia borneensis,-,-,FJ667829,-,-,-,-,-,-,FJ600682
Euphrasia callosa,-,-,KX166245,-,-,-,-,-,-,-
Euphrasia cambrica,-,-,KX165744,MH202291,-,-,-,JN891559,MH202421,-
Euphrasia campbellae,-,-,EU029956,MH202294,-,-,-,-,MH202424,-
Euphrasia christii,-,-,-,-,-,-,-,-,-,-
Euphrasia chrysantha,-,-,EU029958,-,-,-,-,-,-,-
Euphrasia cisalpina,-,-,-,-,-,-,-,-,-,-
Euphrasia cockayniana,-,-,-,-,-,-,-,-,-,-
Euphrasia collina,-,-,EU029959,KC542161,AM233959,KC542224,-,-,-,JX022997
Euphrasia confusa,-,-,EU029960,JN894611,-,-,-,JN891557,MH202429,-
Euphrasia cuneata,-,-,EU029961,-,-,-,-,-,-,-
Euphrasia dinarica,-,-,-,-,-,-,-,-,-,-
Euphrasia disjuncta,-,-,-,AY849602,-,-,-,AY849863,-,AY849598
Euphrasia disperma,-,-,AY264947,-,-,-,-,-,-,-
Euphrasia durietziana,-,-,EU029963,-,-,-,-,-,-,-
Euphrasia fedtschenkoana,-,-,-,-,-,-,-,-,-,-
Euphrasia fennica,-,-,EU029964,-,-,-,-,-,-,-
Euphrasia formosissima,-,-,KX165745,-,-,-,-,-,-,-
Euphrasia foulaensis,-,-,KX166614,MH202316,-,-,-,-,MH202446,-
Euphrasia frigida,-,-,-,MH202322,-,-,-,KT960525,GQ283399,-
Euphrasia glabrescens,-,-,EU029966,HM850812,-,-,-,-,-,-
Euphrasia grandiflora,-,-,KX165750,-,-,-,-,HM849998,-,-
Euphrasia heslop-harrisonii,-,-,AY596817,MH202327,-,-,-,-,MH202457,-
Euphrasia hirtella,-,-,-,KX959186,-,-,-,-,-,FJ600689
Euphrasia hookeri,-,-,-,-,-,-,-,-,-,-
Euphrasia hudsoniana,-,-,-,-,-,-,-,MG221317,-,-
Euphrasia inopinata,-,-,AY596810,-,-,-,-,-,GQ283478,-
Euphrasia insignis,-,-,EU029969,-,-,-,-,-,-,-
Euphrasia kashmiriana,-,-,EU029970,-,-,-,-,-,-,-
Euphrasia kerneri,-,-,EU029971,-,-,-,-,-,-,-
Euphrasia marchesettii,-,-,-,-,-,-,-,-,-,-
Euphrasia marshallii,-,-,KY514238,MH202335,-,-,-,-,MH202465,-
Euphrasia maximowiczii,-,-,KX165752,-,-,-,-,-,-,FJ600691
Euphrasia micrantha,-,-,EU029972,JN894610,-,-,-,MG223763,MH202481,-
Euphrasia minima,-,-,FJ667844,-,-,-,-,-,GQ283460,-
Euphrasia mirabilis,-,-,-,-,-,-,-,-,-,FJ600690
Euphrasia mollis,-,-,AY264974,-,-,-,-,-,-,-
Euphrasia nankotaizanensis,-,-,FJ790050,-,-,-,-,-,-,FJ600687
Euphrasia nemorosa,-,-,EU029973,FJ790110,-,-,-,MG221667,GQ283397,-
Euphrasia oakesii,-,-,AY596809,-,-,-,-,-,-,-
Euphrasia officinalis,-,-,KX166051,JF900571,-,-,-,KM360779,-,FJ600696
Euphrasia ostenfeldii,-,-,-,JN896182,-,-,-,JN892211,MH202496,-
Euphrasia parviflora,-,-,AY596811,-,-,-,-,-,-,-
Euphrasia pectinata,-,-,AY596814,-,-,KC542225,-,-,-,-
Euphrasia petiolaris,-,-,FJ667872,-,-,-,-,-,-,FJ600697
Euphrasia philippinensis,-,-,EU029975,-,-,-,-,-,-,FJ600684
Euphrasia phragmostoma,-,-,EU029976,-,-,-,-,-,-,-
Euphrasia picta,-,-,KX166746,-,-,-,-,-,-,FJ600692
Euphrasia pseudokerneri,-,-,KC480338,MH202370,-,-,-,JN891560,MH202500,-
Euphrasia randii,-,-,MG523319,-,-,KC542226,-,MG223084,-,-
Euphrasia regelii,-,-,EU029978,KC542162,AM233960,KC542227,-,KT280099,-,MG547000
Euphrasia revoluta,-,-,KX166241,-,-,-,-,-,-,-
Euphrasia rivularis,-,-,FJ790052,MH202373,-,-,-,JN892215,MH202503,-
Euphrasia rostkoviana,-,-,KX166617,FJ790112,-,-,-,JN891304,MH202506,-
Euphrasia rotundifolia,-,-,EU029980,MH202378,-,-,-,-,MH202508,-
Euphrasia salisburgensis,-,-,-,JX091322,-,KC542228,-,-,GQ283455,JX022999
Euphrasia scabra,-,-,KX166187,-,-,-,-,-,-,-
Euphrasia scottica,-,-,FJ790049,JN894422,-,-,-,JN891302,MH202509,-
Euphrasia sevanensis,-,-,AY911225,FJ790109,-,-,-,-,-,-
Euphrasia spectabilis,-,-,FJ790051,AY849603,-,-,-,AY849864,-,FJ600695
Euphrasia stricta,-,-,AY596816,FN773541,AM233961,-,-,HE574611,-,FJ600693
Euphrasia subarctica,-,-,-,JN966297,-,-,-,JN965543,-,FJ600694
Euphrasia suborbicularis,-,-,AY264989,-,-,-,-,MG222846,-,-
Euphrasia tarokoana,-,-,MF444630,-,-,-,-,-,-,FJ600688
Euphrasia tatarica,-,-,EU029981,-,-,-,-,-,-,-
Euphrasia taurica,-,-,KX166189,-,-,-,-,-,-,-
Euphrasia tetraquetra,-,-,AY165600,MH202387,-,-,-,JN891303,MH202519,-
Euphrasia transmorrisonensis,-,-,EU029982,-,-,-,-,-,-,FJ600685
Euphrasia tricuspidata,-,-,EU029983,-,-,-,-,-,-,-
Euphrasia vigursii,-,-,EU029984,MH202393,-,-,-,-,MH202523,-
Euphrasia wettsteiniana,-,-,-,-,-,-,-,KT626704,-,-
Euphrasia wettsteinii,-,-,-,-,-,-,-,MG221272,GQ283352,-
Euphrasia willkommii,-,-,KY706614,-,-,-,-,-,GQ283475,-
Gleadovia mupinensis,-,-,KC480340,KY706624,KY706629,KY706631,-,-,-,KY706619
Graderia fruticosa,-,-,AY911226,-,-,-,-,-,-,-
Graderia scabra,-,-,KC480341,-,-,-,-,AM235043,-,-
Harveya alba,-,-,KC480342,-,-,-,-,DQ017773,-,-
Harveya alectroides,-,-,-,FR728638,-,KC542229,-,DQ017786,-,-
Harveya bolusii,-,-,EU259268,AF051983,-,-,-,DQ017777,-,-
Harveya capensis,-,-,EU259271,AF489961,-,-,-,-,-,AF055142
Harveya coccinea,-,-,KC480343,-,-,-,-,DQ017778,-,-
Harveya huttonii,-,-,EU259270,-,-,-,-,-,-,-
Harveya hyobanchoides,-,-,EU259272,-,-,-,-,-,-,-
Harveya leucopharynx,-,-,-,JX091323,-,-,-,-,-,JX023001
Harveya obtusifolia,-,-,EU259273,-,-,KC542280,-,DQ017771,-,-
Harveya pauciflora,-,-,KC480344,-,-,-,-,-,-,-
Harveya pulchra,-,-,EU259267,-,-,-,-,DQ017779,-,-
Harveya pumila,-,-,-,-,-,-,-,DQ017772,-,-
Harveya purpurea,-,-,AY911228,AF051984,-,-,-,DQ017770,-,U48749
Harveya scarlatina,-,-,AF120225,-,-,-,-,DQ017774,-,-
Harveya silvatica,-,-,AY911229,-,-,-,-,DQ017775,-,-
Harveya speciosa,-,-,FJ790059,-,-,-,-,DQ017776,-,KC480422
Harveya squamosa,-,-,JF900511,-,-,-,-,-,-,-
Harveya stenosiphon,-,-,JF900510,-,-,-,-,-,-,-
Hedbergia abyssinica,-,-,KC480346,JF900574,-,-,-,-,-,JX023003
Hedbergia decurva,-,-,KC480347,JX629749,AM233964,KC542230,-,-,-,-
Hedbergia longiflora,-,-,KC480348,JF900583,AM233965,-,-,-,-,-
Hyobanche atropurpurea,-,-,KC480349,AF051986,AM233966,KC542231,-,-,-,AY849599
Hyobanche glabrata,-,-,KC480302,-,AM233967,-,-,-,-,JX023005
Hyobanche rubra,-,-,KC480350,JX091324,AM233931,KC542205,-,-,-,-
Hyobanche sanguinea,-,-,KC480351,AF051987,-,-,-,-,-,U48750
Kopsiopsis hookeri,-,-,-,AF051979,AM233969,-,-,-,-,U48757 
Kopsiopsis strobilacea,-,-,KC480352,-,-,-,-,-,-,U48758
Lamourouxia dasyantha,-,-,KY514237,-,AM233971,KC542233,-,X83719,-,KC480423
Lamourouxia rhinanthifolia,-,-,AM503877,KC542163,-,-,-,-,-,-
Lamourouxia viscosa,-,-,KJ563190,-,AM233973,KC542234,-,JN890561,-,AF055138
Lathraea clandestina,-,-,-,AF051989,-,-,-,-,-,U48755
Lathraea japonica,-,-,KC480287,-,-,-,-,-,-,-
Lathraea squamaria,-,-,KC480288,HM193524,-,-,-,-,-,KC480424
Leptorhabdos parviflora,-,-,KC480289,-,AM233976,-,-,-,-,-
Leucosalpa poissonii,-,-,MG523320,FR728645,AM233977,-,-,-,-,-
Lindenbergia grandiflora,-,-,KY513938,-,AM233978,-,-,-,-,-
Lindenbergia indica,-,-,KC480291,-,-,-,-,-,-,-
Lindenbergia muraria,-,-,KC480354,KC542165,AM233918,KC542235,-,-,-,JX023010
Lindenbergia philippensis,-,-,KC480355,AF051990,-,KC542236,-,AF123664,-,MG547001
Lindenbergia siniaca,-,-,AM503876,-,KC542190,-,-,-,-,-
Lindenbergia sokotrana,-,-,KC480357,JX091326,AM233919,-,-,-,-,KC480425
Macranthera flammea,-,-,AM503873,-,AM233979,-,-,-,-,AF055139
Mannagettaea hummelii,-,-,AM503858,KC542166,-,-,-,KX527303,-,KC480426
Melampyrum arvense,-,-,MG523321,AM503820,-,KC542237,-,AM503849,-,JX023012
Melampyrum carstiense,-,-,-,KC542167,-,KC542238,JQ910101,-,-,JX023013
Melampyrum cristatum,-,-,MF444634,AM503821,-,-,-,AM503850,-,-
Melampyrum italicum,-,-,FJ790039,AM503822,AM233980,-,-,AM503851,-,-
Melampyrum klebelsbergianum,-,-,AY881140,MG546868,AM233981,-,JQ910102,MG546910,-,MG547002
Melampyrum lineare,-,-,EU624125,-,-,-,-,AF026834,-,-
Melampyrum nemorosum,-,-,KY514239,FJ790117,-,KC542239,KU216775,KU235123,-,JX023014
Melampyrum pratense,-,-,EU624133,FJ790099,-,-,-,X83721,-,-
Melampyrum roseum,-,-,AM503865,-,AM233982,-,-,-,-,-
Melampyrum saxosum,-,-,EU253612,-,-,-,-,-,-,-
Melampyrum setaceum,-,-,EU259276,-,-,-,-,-,-,-
Melampyrum sylvaticum,-,-,KC480362,AF051991,-,-,-,AM503854,-,AF055148
Melampyrum velebiticum,-,-,-,AM503826,-,-,-,AM503855,-,-
Melasma calycinum,-,-,-,-,AM233984,-,-,-,-,-
Melasma physalodes,-,-,KJ563193,-,-,-,-,-,-,-
Melasma rhinanthoides,-,-,MG523322,-,-,-,-,-,-,-
Melasma scabrum,-,-,JF900518,AY849604,AM234042,KC542240,-,DQ017784,-,U48743
